Geneid,TR_AG_1,TR_AG_2,TR_AG_3,TR_SH_1,TR_SH_2,TR_SH_3
Dot1l,1228,1757,1337,2347,1466,2087
Plekhj1,1071,1491,1150,1354,1104,1597
Sf3a2,2310,3337,2447,3003,1623,3478
Amh,11,6,6,12,5,20
Jsrp1,7,4,3,0,5,1
Oaz1,0,0,0,0,2,0
Oaz1-ps,0,0,0,0,0,0
Mir1982,0,0,0,0,0,0
Lingo3,0,0,0,2,0,1
Lsm7,722,1185,787,977,716,1336
Sppl2b,537,934,553,724,518,669
Tmprss9,5,4,11,5,6,6
Timm13,1798,1936,1754,1718,1705,2361
Lmnb2,753,1211,845,1157,776,1282
Gadd45b,1620,2062,1818,2082,1307,2626
Gng7,258,383,270,324,270,341
Diras1,5,6,1,2,10,0
Slc39a3,672,1055,626,617,719,674
Sgta,3216,4840,3525,4227,3259,4127
Thop1,1437,2295,1513,2189,1283,2130
Creb3l3,6,5,9,0,11,1
Mir5615-1,0,0,0,0,0,0
Mir5615-2,0,0,0,0,0,0
Map2k2,3554,4952,3669,3562,3683,3976
Zbtb7a,1497,2424,1530,1422,1555,1358
Pias4,726,1166,721,964,743,1113
Eef2,66047,102408,71096,82060,70357,80468
Snord37,0,0,0,0,0,0
Dapk3,1820,2186,1832,2412,2169,2749
Atcayos,0,0,0,0,0,0
Nmrk2,0,0,1,0,0,0
Atcay,11,0,4,0,0,5
Zfr2,59,97,58,32,101,34
Matk,12,26,14,8,14,8
Mrpl54,1081,1153,1144,1111,995,1321
Apba3,802,1384,870,1342,1022,1240
Mir3057,0,0,0,0,0,0
Tjp3,6,5,3,6,2,3
Pip5k1c,1256,2310,1284,1222,1620,1143
Cactin,1955,2368,1942,2302,1537,2358
Tbxa2r,23,4,24,3,18,3
Gipc3,0,2,1,0,0,0
Hmg20b,1058,1335,1193,1284,1651,1402
Mfsd12,114,165,82,111,127,75
4930404N11Rik,68,133,91,66,126,74
Fzr1,1314,2532,1401,2264,1514,2251
