Gene	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_3
LOC107984125	0	0	1.039090291	0	0	0	0	0
LOC107984128	7.385149308	2.281088859	4.156361163	4.43392879	6.375321414	3.275470807	6.301531153	1.011829489
LOC107984129	1.846287327	3.041451812	2.078180582	2.955952527	5.100257131	7.642765215	0.572866468	1.011829489
LOC107984130	4.615718317	0	0	0	0	1.091823602	1.145732937	2.023658977
LOC107984131	0	3.041451812	0	0	0	0	0.572866468	0
LOC107984132	0	0.760362953	2.078180582	0	0	0	0	0
LOC107984137	0	2.281088859	0	1.477976263	0	0	0.572866468	0
LOC107984138	12.00086763	11.40544429	23.89907669	7.389881317	11.47557855	8.734588817	29.21618989	14.16561284
LOC107984139	0	0	0	0	0	0	0	2.023658977
LOC107984140	0	6.082903623	4.156361163	1.477976263	1.275064283	2.183647204	10.31159643	6.070976932
LOC107984149	5.538861981	0	3.117270872	4.43392879	0	2.183647204	0	1.011829489
LOC107984168	0	0	0	0	0	1.091823602	0	0
LOC107984172	0.923143663	0	0	2.955952527	6.375321414	9.82641242	1.145732937	0
LOC107984173	2.76943099	4.562177717	9.351812617	118.2381011	113.4807212	93.89682979	5.155798216	17.20110131
LOC107984180	0	0	0	1.477976263	1.275064283	0	0	0
LOC107984183	0.923143663	0	0	0	0	4.367294409	2.291465874	0
LOC107984186	0	0.760362953	4.156361163	0	3.825192848	0	0	2.023658977
LOC107984190	24.92487891	38.7785106	24.93816698	4.43392879	12.75064283	13.10188323	36.66345398	20.23658977
LOC107984192	0	0	0	8.86785758	10.20051426	17.46917763	6.301531153	10.11829489
LOC107984193	0	0	0	0	0	2.183647204	0	1.011829489
LOC107984197	9.231436635	9.124355435	2.078180582	19.21369142	16.57583568	25.11194285	10.8844629	28.33122568
LOC107984198	175.3972961	186.2889235	270.1634756	60.5970268	70.12853555	65.50941613	28.07045695	111.3012437
LOC107984200	1.846287327	2.281088859	1.039090291	20.69166769	7.650385697	21.83647204	12.60306231	12.14195386
LOC107984201	0	0	0	0	3.825192848	0	0	0
LOC107984202	0	0	0	0	0	0	0.572866468	0
LOC107984203	0	0	0	2.955952527	0	0	0	0
LOC107984204	0	0.760362953	0	0	1.275064283	0	0.572866468	0
LOC107984205	1.846287327	0	0	5.911905053	0	2.183647204	0.572866468	0
LOC107984206	1.846287327	0	0	0	0	0	0.572866468	0
LOC107984208	34.15631555	51.7046808	57.14996599	99.02440964	73.9537284	86.25406457	17.75886052	57.67428085
LOC107984210	48.0034705	57.02722147	67.5408689	45.81726416	35.70179992	49.1320621	40.10065279	40.47317955
LOC107984214	0	0.760362953	0	0	1.275064283	0	0	2.023658977
LOC107984217	0	2.281088859	1.039090291	5.911905053	8.92544998	5.459118011	2.864332342	4.047317955
LOC107984219	210.4767553	183.2474717	202.6226067	81.28869448	66.30334271	113.5496546	479.4892341	97.13563091
LOC107984220	6.462005644	15.20725906	20.78180582	31.03750153	33.15167135	22.92829565	22.91465874	17.20110131
LOC107984221	0	0	0	0	0	0	0	1.011829489
LOC107984224	0.923143663	1.520725906	6.234541745	0	0	3.275470807	2.291465874	0
LOC107984225	0	0	0	0	0	0	1.145732937	4.047317955
LOC107984226	0	3.041451812	0	10.34583384	2.550128566	10.91823602	6.301531153	4.047317955
LOC107984234	0.923143663	1.520725906	1.039090291	1.477976263	8.92544998	4.367294409	0.572866468	4.047317955
LOC107984235	0	0	0	1.477976263	0	0	0	0
LOC107984236	6.462005644	7.603629529	2.078180582	11.82381011	14.02570711	10.91823602	20.0503264	1.011829489
LOC107984240	0	0	0	1.477976263	0	0	0	0
LOC107984242	0	0.760362953	0	0	0	2.183647204	0	0
LOC107984243	24.00173525	32.69560698	27.01634756	20.69166769	11.47557855	3.275470807	11.45732937	16.18927182
LOC107984245	0	0	0	0	0	1.091823602	1.718599405	0
LOC107984246	0	0	0	0	0	0	1.145732937	0
LOC107984247	336.0242935	364.9742174	337.7043445	90.15655206	66.30334271	123.376067	333.4082846	145.7034464
LOC107984248	0.923143663	5.32254067	1.039090291	0	0	1.091823602	4.010065279	4.047317955
LOC107984249	0	1.520725906	0	0	1.275064283	0	0	0
LOC107984251	8.308292971	12.9261702	6.234541745	32.51547779	25.50128566	13.10188323	18.90459346	35.4140321
LOC107984253	0	2.281088859	0	0	6.375321414	1.091823602	0.572866468	0
LOC107984254	0	0	1.039090291	0	0	2.183647204	0	0
LOC107984256	3.692574654	0.760362953	1.039090291	0	0	0	2.291465874	0
LOC107984257	0	3.801814765	1.039090291	16.2577389	19.12596424	13.10188323	2.864332342	4.047317955
LOC107984260	0	0	1.039090291	5.911905053	5.100257131	5.459118011	9.165863496	7.08280642
LOC107984261	0.923143663	0	3.117270872	8.86785758	6.375321414	3.275470807	5.155798216	1.011829489
LOC107984262	122.7781072	105.6904505	100.7917582	147.7976263	151.7326497	137.5697739	122.5934243	124.4550271
LOC107984263	60.00433813	25.8523404	35.32906989	4.43392879	3.825192848	9.82641242	32.6533887	26.3075667
LOC107984265	9.231436635	15.96762201	11.4299932	5.911905053	10.20051426	12.01005962	5.155798216	9.106465398
LOC107984266	0	0	0	0	0	4.367294409	0	0
LOC107984269	0.923143663	0	0	10.34583384	5.100257131	5.459118011	0	1.011829489
LOC107984270	0	0	4.156361163	0	3.825192848	0	0.572866468	0
LOC107984271	0	0	0	0	0	0	1.145732937	0
LOC107984275	2.76943099	0	0	0	0	0	0.572866468	0
LOC107984276	0	0	0	0	1.275064283	0	0	0
LOC107984277	0	0.760362953	0	0	0	7.642765215	0.572866468	1.011829489
LOC107984279	0	0	0	0	0	1.091823602	0	0
LOC107984282	29.54059723	48.66322899	33.25088931	48.77321669	84.15424267	52.4075329	72.18117503	51.60330392
LOC107984285	0	0.760362953	0	0	0	9.82641242	8.020130559	6.070976932
LOC107984289	53.54233248	59.30831033	47.79815338	97.54643338	73.9537284	65.50941613	14.89452818	65.76891676
LOC107984292	0	2.281088859	0	5.911905053	0	1.091823602	0.572866468	0
LOC107984293	0	0	0	0	0	0	0	1.011829489
LOC107984294	0	0	0	0	1.275064283	0	0	0
LOC107984298	15.69344228	19.76943678	11.4299932	1.477976263	7.650385697	3.275470807	12.60306231	9.106465398
LOC107984301	2.76943099	0	0	0	0	0	1.145732937	0
LOC107984307	1.846287327	0.760362953	0	0	2.550128566	2.183647204	2.291465874	2.023658977
LOC107984308	1.846287327	0.760362953	0	7.389881317	1.275064283	1.091823602	0	0
LOC107984309	9.231436635	1.520725906	1.039090291	0	2.550128566	5.459118011	1.718599405	0
LOC107984311	11.07772396	6.082903623	4.156361163	0	0	6.550941613	6.874397622	6.070976932
LOC107984312	5.538861981	0	1.039090291	7.389881317	1.275064283	1.091823602	4.582931748	5.059147443
LOC107984313	0	0	0	5.911905053	1.275064283	0	0	0
LOC107984316	29.54059723	55.50649556	35.32906989	17.73571516	12.75064283	31.66288446	177.0157388	17.20110131
LOC107984317	0	0.760362953	0	0	0	0	0.572866468	0
LOC107984318	0.923143663	2.281088859	0	0	3.825192848	0	1.145732937	0
LOC107984320	0	0	0	0	0	3.275470807	0.572866468	0
LOC107984322	5.538861981	12.9261702	6.234541745	171.4452465	175.958871	175.7836	9.738729964	17.20110131
LOC107984324	0	0	0	0	0	2.183647204	0	0
LOC107984325	0	0	0	0	0	1.091823602	0	0
LOC107984326	0	0	0	0	2.550128566	0	0	0
LOC107984328	719.1289138	637.9445175	644.2359803	836.534565	855.5681338	718.4199302	257.7899108	659.7128266
LOC107984329	61.85062545	50.94431784	80.00995239	69.46488438	59.92802129	70.96853414	53.84944804	63.74525778
LOC107984333	2.76943099	3.801814765	0	17.73571516	8.92544998	9.82641242	3.437198811	12.14195386
LOC107984334	7.385149308	6.082903623	3.117270872	13.30178637	3.825192848	0	12.60306231	4.047317955
LOC107984336	0.923143663	0	0	0	0	0	0	0
LOC107984338	87.69864803	122.4184354	80.00995239	7.389881317	24.22622137	14.19370683	198.7846646	12.14195386
LOC107984340	1209.318199	1190.728384	1182.484751	848.3583751	838.9922981	884.3771178	651.9220411	824.6410332
LOC107984341	0	0	0	0	3.825192848	0	1.145732937	1.011829489
LOC107984343	27.6943099	47.14250308	56.1108757	88.6785758	132.6066854	109.1823602	38.95491986	71.83989369
LOC107984344	26.77116624	22.81088859	13.50817378	0	1.275064283	3.275470807	10.8844629	2.023658977
LOC107984347	53.54233248	85.92101368	87.28358443	11.82381011	29.3264785	40.39747328	188.4730681	40.47317955
LOC107984352	0	0	0	1.477976263	0	1.091823602	0.572866468	0
LOC107984355	0.923143663	0	0	0	0	0	0	0
LOC107984360	0	0	0	4.43392879	3.825192848	0	1.145732937	0
LOC107984361	0	0	0	0	2.550128566	2.183647204	0	0
LOC107984362	0	0.760362953	0	0	0	0	0	0
LOC107984364	0	0	0	7.389881317	3.825192848	0	0	1.011829489
LOC107984368	0.923143663	0	0	2.955952527	1.275064283	0	1.145732937	2.023658977
LOC107984369	0	0.760362953	0	0	0	0	0	0
LOC107984372	0	0	0	1.477976263	0	0	0	0
LOC107984373	0	0	0	7.389881317	2.550128566	0	0	0
LOC107984374	0	0	0	0	3.825192848	0	0	0
LOC107984375	0	0	6.234541745	0	2.550128566	0	1.145732937	0
LOC107984376	0	2.281088859	0	0	0	0	0	1.011829489
LOC107984377	0	0	0	0	1.275064283	0	0	0
LOC107984379	0	0	0	0	0	0	1.145732937	0
LOC107984385	0	0	0	1.477976263	0	0	0	0
LOC107984387	0	0.760362953	1.039090291	0	0	0	1.145732937	0
LOC107984388	0	0	0	0	6.375321414	2.183647204	0.572866468	0
LOC107984389	0	0	0	0	0	0	0.572866468	0
LOC107984390	5.538861981	0.760362953	1.039090291	2.955952527	6.375321414	0	1.718599405	2.023658977
LOC107984397	0.923143663	5.32254067	2.078180582	16.2577389	1.275064283	7.642765215	2.291465874	5.059147443
LOC107984398	0	0	0	1.477976263	0	0	1.145732937	0
LOC107984399	0	0	0	0	0	1.091823602	0	0
LOC107984402	0	0	0	2.955952527	0	0	0	0
LOC107984406	0.923143663	0	0	7.389881317	1.275064283	3.275470807	4.582931748	0
LOC107984408	0	0	2.078180582	0	7.650385697	4.367294409	0	0
LOC107984410	0	0	4.156361163	0	2.550128566	5.459118011	0.572866468	2.023658977
LOC107984412	0	0	0	1.477976263	0	0	0	0
LOC107984413	0	0	0	0	1.275064283	1.091823602	0	0
LOC107984418	0	0	1.039090291	0	0	2.183647204	1.145732937	0
LOC107984421	0.923143663	3.801814765	1.039090291	0	5.100257131	0	8.020130559	3.035488466
LOC107984428	4.615718317	3.041451812	0	5.911905053	24.22622137	9.82641242	9.738729964	10.11829489
LOC107984429	1.846287327	0	0	0	5.100257131	0	1.145732937	0
LOC107984432	9.231436635	2.281088859	2.078180582	4.43392879	1.275064283	0	2.291465874	3.035488466
LOC107984433	16.61658594	17.48834792	7.273632036	31.03750153	25.50128566	26.20376645	12.60306231	13.15378335
LOC107984435	0	1.520725906	0	4.43392879	8.92544998	9.82641242	0	0
LOC107984436	0	0	0	0	0	0	0	2.023658977
LOC107984437	0.923143663	0	0	1.477976263	0	0	0	0
LOC107984440	0	0	0	0	3.825192848	1.091823602	0	1.011829489
LOC107984444	0	0.760362953	0	0	0	3.275470807	0	0
LOC107984447	1.846287327	0	0	0	0	0	1.718599405	0
LOC107984449	2.76943099	8.363992482	5.195451454	2.955952527	0	4.367294409	4.010065279	3.035488466
LOC107984450	2.76943099	4.562177717	3.117270872	2.955952527	1.275064283	4.367294409	3.437198811	1.011829489
LOC107984451	0	0	0	0	0	0	1.718599405	0
LOC107984452	0	0	0	0	1.275064283	0	0	0
LOC107984455	5.538861981	9.884718388	2.078180582	1.477976263	2.550128566	6.550941613	13.74879524	13.15378335
LOC107984456	0	0	1.039090291	0	0	0	0	4.047317955
LOC107984459	1.846287327	0	4.156361163	4.43392879	0	0	2.864332342	0
LOC107984461	68.3126311	76.79665824	83.12722326	255.6898936	221.8611852	250.0276049	30.9347893	87.01733602
LOC107984462	26.77116624	19.76943678	16.62544465	44.3392879	75.22879269	56.77482731	4.010065279	23.27207824
LOC107984466	0	0	0	1.477976263	0	0	0	0
LOC107984468	0	0	0	0	0	0	0.572866468	0
LOC107984471	0	0	0	17.73571516	20.40102852	21.83647204	0	7.08280642
LOC107984480	0	0	0	0	0	1.091823602	0	0
LOC107984485	38.77203387	23.57125154	25.97725727	13.30178637	28.05141422	24.02011925	36.09058751	17.20110131
LOC107984486	0	3.801814765	0	0	0	0	0	0
LOC107984489	0	3.041451812	0	0	0	2.183647204	1.718599405	0
LOC107984492	4.615718317	1.520725906	2.078180582	0	0	6.550941613	4.582931748	2.023658977
LOC107984494	0	0.760362953	0	0	0	0	0	0
