	TR_AG_1	TR_AG_3	TR_SH_1	TR_SH_3
Tagln	4401.543386	4293.347573	1149.939578	1179.926216
Tbc1d9	441.4767344	443.2082942	1521.458519	1492.230091
Tbkbp1	185.1354047	158.2886765	629.6049273	508.1214173
Tead3	1028.417001	972.0786957	257.0453174	254.0607086
Tgtp1	465.8901943	560.5281368	122.7989776	121.5072954
Thbd	622.5432291	594.0480918	1262.331863	1276.328698
Thy1	259.3930121	272.8151895	5.203346507	6.025155146
Timp1	2394.553532	2405.987883	919.9516624	1006.200909
Timp2	54122.60629	52690.57597	23734.54476	23228.98147
Tinf2	593.0436316	594.0480918	1222.786429	1196.997489
Tjp2	1291.878923	1284.931609	2872.247272	2652.072457
Tmem2	1713.011107	1662.031103	3795.320942	3360.028186
Tmem45a	2108.712604	2179.728186	853.3488271	860.5929933
Tnc	4058.737719	3933.008056	1568.288637	1393.819224
Tnfaip2	768.0067614	699.2635062	259.126656	267.1152115
Tnfrsf10b	397.7359519	409.6883392	875.2028825	1012.226064
Tnfrsf21	90.53324737	95.90431577	602.5475255	564.3561986
Tnfrsf23	1759.803572	1816.59534	801.3153621	697.9138044
Tnfsf13b	309.2371595	297.9551558	42.66744136	63.26412903
Tor3a	1275.603283	1265.378302	535.9446902	556.3226584
Tpcn1	5910.091766	5783.123352	2672.438766	2514.498081
Trf	4156.391559	4393.907438	107.188938	97.40667485
Trib2	482.1658343	500.0059958	86.37555202	90.37732718
Trim30a	750.7138939	886.4165884	276.8180342	182.7630394
Trim30d	424.1838669	459.9682717	135.2870092	104.4360225
Tspan15	101.7227499	121.044282	579.6528009	646.6999856
Tspan17	17.29286747	22.34663668	237.2726007	272.1361741
Tspan8	249.2207371	306.3351445	705.5737863	833.4797951
Tubb4b	3793.241342	3520.526387	7545.893104	7784.500448
Tulp4	8713.570752	9042.007868	4690.296541	4008.736557
Wipf1	516.7515692	419.9305477	64.52149669	74.31024679
Wls	3404.660438	3593.152957	7328.39322	7594.708061
Wnt7a	72.22315239	57.72881143	429.7964215	484.0207967
Wwc1	2437.277086	2243.043657	4986.887292	4665.478468
Zadh2	2487.121234	2451.612266	1104.150129	1064.444076
Zcchc11	760.8861689	744.8878894	1856.554034	1637.838007
Zdhhc15	286.8581546	283.9885078	49.95212647	56.23478136
Zfp422	10.17227499	5.586659171	241.4352779	245.0229759
Zfp521	525.9066167	500.9371056	1362.236116	1213.064569
