Gene	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_3	NKO70_1	NKO70_2	NKO70_3
RGP1	279.3950203	296.3110665	307.9456507	98.692379	107.1668697	152.2249457	371.0901179	214.9614618	235.9630188	234.9441175	271.5579186
RGPD1	0	2.279315896	1.036854043	0	1.291167105	0	4.56726299	0	0.963114363	1.030456656	5.467609099
RGPD2	3.676250268	6.837947688	1.036854043	0	5.164668419	3.309237949	9.13452598	7.199666185	5.778686176	4.121826623	1.822536366
RGPD3	0	2.279315896	7.257978299	0	1.291167105	0	1.141815747	1.028523741	0	1.030456656	0.911268183
RGPD4	0	1.519543931	0	0	0	0	10.8472496	3.085571222	0	0	0
RGPD5	4.595312835	4.558631792	4.147416171	1.495339076	2.58233421	1.103079316	7.421802359	2.057047482	5.778686176	1.030456656	1.822536366
RGPD6	2.757187701	4.558631792	4.147416171	0	1.291167105	0	6.850894485	0	0.963114363	5.152283278	0.911268183
RGPD8	6.433437969	3.798859826	2.073708086	0	2.58233421	0	16.55632834	1.028523741	4.815571813	0	1.822536366
RGR	0	0	0	0	5.164668419	0	0	0	0	0	0
RGS1	0	0	0	0	1.291167105	0	0	4.114094963	0	0	0
RGS10	785.7984947	812.9560029	832.5937963	2411.981929	2500.990682	2181.890888	397.3518801	1463.589283	994.8971366	1172.659674	1065.272506
RGS11	1.838125134	2.279315896	0	8.972034454	3.873501314	7.721555215	7.992710232	0	0	1.030456656	1.822536366
RGS12	320.7528359	362.4112274	344.2355422	167.4779765	204.0044026	228.3374185	517.2425336	212.9044143	267.7457928	242.1573141	332.6128868
RGS13	0	0	0	0	1.291167105	0	0	0	0	0	0
RGS14	316.157523	300.1099263	334.9038558	170.4686546	182.0545618	178.6988493	405.9154982	325.0135021	272.5613646	342.1116097	345.3706414
RGS16	3.676250268	3.039087861	4.147416171	29.90678151	16.78517236	29.78314154	9.13452598	9.256713667	5.778686176	0	4.556340915
RGS17	0	0	0	0	0	1.103079316	0	0	0	0	0
RGS18	0	0	0	0	0	0	0	1.028523741	0	0	0
RGS19	409.9019049	351.7744199	401.2625146	982.4377728	1032.933684	1085.430047	501.828021	1097.434831	566.3112452	570.8729872	485.7059416
RGS2	228.8465792	189.1832194	202.1865383	508.4152858	499.6816696	411.448585	193.5377692	341.4698819	215.7376172	211.2436144	220.5269003
RGS20	471.4790968	440.6677399	446.8840924	626.5470727	751.459255	585.735117	202.1013873	552.3172488	612.5407346	599.7257736	502.1087689
RGS21	0	0	0	0	6.455835524	0	0	0	0	0	0
RGS22	0	0	3.110562128	0	9.038169734	2.206158633	0.570907874	1.028523741	0	0	0
RGS3	429.2022188	393.561878	390.8939741	351.4046828	358.9444551	368.4284917	274.6066873	260.2165064	308.196596	324.5938465	355.3945914
RGS4	86.39188129	81.29560029	109.9065285	61.30890211	49.06434998	54.0508865	51.95261651	159.4211798	64.52866229	108.1979488	87.48174558
RGS5	20.21937647	28.11156272	35.25303745	122.6178042	64.55835524	62.87552103	18.26905196	42.16947337	33.70900269	54.61420275	42.8296046
RGS6	12.86687594	22.03338699	20.73708086	25.42076429	28.40567631	28.68006223	11.98906535	12.34228489	45.26637504	9.274109901	28.24931368
RGS7	59.73906685	56.9828974	60.13753448	100.1877181	100.7110342	119.1325662	74.21802359	66.85404315	65.49177666	55.6446594	50.11975007
RGS7BP	0	0	0	1.495339076	0	0	1.712723621	0	0	0	0
RGS8	0	0	0	4.486017227	0	1.103079316	0	4.114094963	0	0	0
RGS9	16.5431262	24.31270289	6.221124257	31.40212059	41.31734735	50.74164855	26.83267007	23.65604604	12.52048671	7.213196589	15.49155911
RGS9BP	0.919062567	4.558631792	8.294832342	1.495339076	6.455835524	8.824634531	5.709078737	11.31376115	1.926228725	11.33502321	8.201413648
RGSL1	0	0	0	0	2.58233421	0	0	0	0	0	0
RHAG	4.595312835	0.759771965	6.221124257	8.972034454	41.31734735	8.824634531	2.283631495	4.114094963	3.85245745	1.030456656	0
RHBDD1	330.8625241	307.7076459	292.3928401	186.9173845	175.5987263	215.1004667	230.646781	250.9597927	339.0162556	285.4364936	310.7424504
RHBDD2	2347.285796	2179.785768	2201.241133	1924.50139	1846.36896	2444.423765	1545.447614	2065.275671	1945.491012	1940.349883	2037.595657
RHBDD3	540.4087894	619.9739237	515.3164593	553.275458	587.4810327	475.4271854	629.1404769	572.8877236	583.6473037	526.563351	584.1229054
RHBDF1	184.731576	229.4511335	135.8278796	49.3461895	61.97602103	93.76174189	316.282962	132.6795626	108.831923	126.7461686	121.1986684
RHBDF2	289.5047086	313.0260497	314.166775	58.31822395	83.92586181	127.9572007	459.0099305	228.3322705	192.6228725	210.2131577	255.1550913
RHBDL1	43.19594065	56.9828974	37.32674554	7.476695379	6.455835524	5.515396582	45.10172202	22.6275223	24.07785906	23.70050308	23.69297276
RHBDL2	2.757187701	3.039087861	0	2.990678151	1.291167105	4.412317266	4.56726299	5.142618704	0.963114363	1.030456656	0.911268183
RHBDL3	47.79125348	53.18403757	54.95326427	8.972034454	46.48201577	31.98930018	174.6978094	67.88256689	32.74588833	24.73095974	26.42677731
RHBG	0	0	2.073708086	2.990678151	0	0	0.570907874	0	0	0	0
