EntrezID	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_2	K70P10_3	NKO70_1	NKO70_2	NKO70_3
SMPDL3B	1.901381314	2.346705976	3.219801984	51.30568825	33.53609126	39.00704022	53.28731044	49.67838286	31.65532605	2.000769822	2.136609703	0
SNRPA	2288.312411	2486.726099	2501.786142	918.838235	917.5474568	1005.004919	1018.971792	1081.311295	1266.213042	2295.883371	2269.079504	2465.350144
SOX12	1786.347744	1926.645606	1730.106933	180.3472678	285.7274975	336.1489054	897.0030591	988.4062668	495.9334414	1203.463048	1122.788399	1377.474432
SOX2	3198.12337	3247.058835	3279.904955	573.6908777	549.9918966	593.1364645	1969.262161	1812.938388	1026.687741	3554.367589	3302.130295	3966.938314
SOX2-OT	2663.835221	2352.963858	2603.746538	822.4457298	767.3057679	759.4900184	672.0121928	594.2050729	1259.881977	3538.361431	3166.455579	3079.337041
SOX21	713.9686833	829.9516801	731.9683178	115.0491191	160.973238	150.2918314	343.4071117	352.2648967	207.8699744	891.3429558	853.5755762	994.7904091
SOX21-AS1	322.2841327	372.3440148	295.1485152	104.1660943	123.4128158	76.86681455	157.4936064	167.1000151	131.8971919	431.1658967	374.9750028	447.5616585
SPINK2	13.3096692	17.99141248	10.73267328	309.3888473	383.652884	279.9328769	33.15654872	32.25869017	132.9523694	37.01424171	20.29779218	39.49073458
SPINK6	9.506906569	14.08023586	5.366336641	911.0646458	1071.813477	697.5376604	52.10314799	38.7104282	170.9387606	97.03733638	119.6501433	62.99712421
SPRY2	122.6390947	146.2780058	145.9643566	343.5926395	355.4825673	426.7829106	249.8582778	305.8123828	346.0982314	273.1050807	275.6226516	257.6300303
SPRYD3	1560.083368	1478.424765	1607.754458	508.392729	504.3828125	603.4618575	448.7975702	464.5251384	604.6167275	1755.675519	1762.703005	1722.548232
SQOR	6.654834598	14.08023586	12.87920794	115.0491191	75.12084441	91.7812711	25.45949277	30.96834256	59.08994195	11.00423402	13.88796307	4.701277926
SREBF1	4983.520423	5345.796213	4898.392086	202.1133173	272.313061	336.1489054	1899.396577	1919.392065	877.907709	2613.005388	2401.549306	3114.126498
SRXN1	11730.57202	11451.14293	11384.14655	3990.960659	3695.677256	3666.66178	3922.53813	3605.876387	5640.979101	8249.173977	8480.20391	7969.60634
ST3GAL5	57.99213007	56.32094342	40.78415847	178.79255	183.7777801	170.9426174	116.0479205	94.1953753	128.7316593	40.01539644	75.84964444	64.87763538
STAG1	853.7202099	875.321329	871.4930705	205.222753	224.0210896	166.3535539	335.7100558	318.0706851	211.035507	706.2717473	732.857128	777.5913689
STAMBPL1	24.71795708	31.28941301	41.8574258	155.4717826	146.2173579	121.6101842	113.0875144	116.1312846	126.6213042	73.02809851	75.84964444	66.75814655
STARD13	42.78107956	48.49859017	24.68514855	62.18871303	131.4614777	99.81213232	111.3112707	144.518932	78.08313758	37.01424171	36.32236494	55.47507953
STARD5	49.43591416	61.01435537	49.37029709	278.2944908	287.0689412	290.2582699	162.2302562	161.2934509	250.0770758	57.02193993	56.62015712	78.04121357
STOML3	0	0	0	13.99246043	4.024330951	10.325393	1.776243681	4.516216624	12.66213042	2.000769822	1.068304851	0.940255585
STRA6	17.11243182	21.12035378	11.80594061	59.07927738	68.41362616	71.1304851	47.9585794	66.45290175	47.48298907	14.00538876	12.81965822	5.641533511
STX11	4.753453285	16.42694183	9.659405953	55.96984172	81.82806266	83.75040988	44.99817326	40.64594961	62.25547456	12.00461893	22.43440188	8.462300267
SYT17	3.802762628	6.257882602	6.439603969	24.87548521	42.92619681	11.47265889	25.45949277	21.93590932	26.37943837	13.00500384	3.204914554	7.522044681
SYTL2	17.11243182	21.90258911	45.07722778	195.894446	209.2652094	149.1445655	185.9135053	151.6158438	98.13151074	14.00538876	3.204914554	7.522044681
TEDC2	337.4951832	339.4901312	328.4198024	138.3698865	126.0957031	146.8500338	144.4678194	151.6158438	194.1526664	292.112394	322.6280651	329.0894548
TEF	573.2664661	470.1234305	552.732674	188.1208569	131.4614777	136.5246408	227.3591912	221.2946146	239.5253004	417.1605079	440.1415987	421.2345022
TENT5C	38.97831693	25.03153041	27.90495053	262.7473125	221.3382023	239.7785707	125.5212201	101.2922871	220.5321048	24.00923787	29.91253584	16.92460053
TEX14	0.950690657	1.564470651	0	146.1434756	123.4128158	130.7883113	21.9070054	20.64556171	17.93801809	4.001539644	5.341524257	5.641533511
TEX15	6.654834598	10.95129455	5.366336641	29.53963869	40.24330951	34.41797666	126.1133014	127.0992393	12.66213042	5.001924556	4.273219405	15.04408936
TEX19	78.90732452	96.99718033	113.7663368	10.88302478	6.707218251	8.030861221	16.57827436	18.0648665	39.04156879	65.02501922	43.8004989	46.07252367
TFAP2C	110.2801162	100.908357	114.8396041	219.2152134	228.0454205	245.5149002	268.8048771	278.7150831	138.2282571	92.03541182	116.4452288	105.3086255
TFAP4	379.3255721	363.7394263	381.0099015	54.4151239	59.02352061	65.39415566	175.2560432	170.9710579	136.117902	416.160123	434.8000745	449.4421697
TGM1	1.901381314	2.346705976	3.219801984	12.43774261	29.51176031	32.12344489	9.473299634	17.41969269	17.93801809	9.0034642	3.204914554	6.581789096
TGM4	0	2.346705976	0	18.65661391	10.7315492	19.50352011	20.13076172	16.12934509	6.331065209	1.000384911	1.068304851	4.701277926
THOC6	954.4934195	918.3442719	913.3504963	312.498283	276.3373919	281.0801427	329.1971623	350.3293752	473.7747132	1372.528098	1322.561406	1129.246958
THSD1	191.088822	213.5502438	176.0158418	398.0077634	435.9691863	432.5192401	397.2865034	463.2347908	347.153409	166.0638952	179.475215	171.1265165
TIMP3	649.3217187	714.180852	627.861387	1388.363018	1521.197099	1775.967596	1797.558606	1911.649979	1094.219104	615.2367203	546.9720839	657.238654
TKT	21109.13535	20363.93222	20718.3525	6826.765973	6764.900328	7472.142733	8930.95323	9421.473051	8286.309181	13261.10238	12735.26213	14289.06413
TLL2	29.47141036	14.08023586	16.09900992	99.50194084	85.85239362	73.42501688	58.61604148	42.58147102	47.48298907	9.0034642	19.22948732	15.04408936
TMEM117	848.9667566	829.1694448	846.8079219	461.7511942	421.2133062	388.9231363	298.4089385	292.2637329	579.2924666	1030.396458	1077.919595	1007.953987
TMEM135	997.2744991	930.8600371	1045.362378	413.5549416	500.3584815	452.0227602	264.6603085	301.2961662	626.7754557	1166.448806	1092.875863	1054.966767
TMEM154	15.21105051	14.86247118	15.02574259	41.97738129	48.29197141	44.74336966	41.4456859	47.09768765	43.26227893	17.00654349	22.43440188	16.92460053
TMEM229B	28.52071971	25.81376573	32.19801984	59.07927738	64.38929521	98.66486643	91.18050898	96.13089671	83.35902526	21.00808313	26.70762128	25.3869008
TMEM255B	26.61933839	32.07164834	30.05148519	90.17363389	130.1200341	97.51760054	62.16852885	51.61390427	86.52455786	35.01347189	21.36609703	18.8051117
TMEM54	237.6726642	215.1147145	217.8732676	1361.932815	1368.272523	1470.794869	374.1953355	394.8463677	838.8661402	242.0931485	222.2074091	252.9287524
TMEM59L	28.52071971	35.98282496	44.00396045	101.0566587	103.2911611	111.2847912	123.1528952	122.5830226	69.6417173	35.01347189	26.70762128	19.74536729
TMEM86A	71.30179927	61.01435537	50.44356442	212.9963421	249.5085189	211.0969235	140.9153321	124.5185441	181.490536	66.02540413	71.57642504	41.37124575
TMPRSS11E	46.58384219	52.40976679	51.51683175	180.3472678	169.0218999	187.0043399	94.73299634	101.9374609	150.8903875	73.02809851	124.9916676	93.08530293
TMPRSS7	9.506906569	3.128941301	3.219801984	161.6906539	253.5328499	175.531681	15.39411191	13.54864987	49.59334414	5.001924556	11.75135336	20.68562287
TNFAIP1	879.3888576	850.2897986	877.9326744	2342.959763	2327.404733	2387.460314	1854.990485	1941.327974	2299.231848	1205.463818	1190.091604	1257.121717
TNFAIP2	17.11243182	29.72494236	25.75841588	102.6113765	76.46228806	145.7027679	75.78639707	84.51776825	69.6417173	32.01231716	34.18575524	22.56613404
TNFAIP8L3	7.605525255	5.475647277	3.219801984	91.72835171	89.87672457	71.1304851	17.76243681	28.38764735	66.4761847	6.002309467	13.88796307	10.34281144
TNFRSF9	5.704143941	4.693411952	11.80594061	49.75097042	45.60908411	32.12344489	56.8397978	54.19459949	39.04156879	11.00423402	3.204914554	4.701277926
TP53I3	217.7081604	218.2436558	211.4336636	1310.627127	1179.128969	968.2924101	767.9293516	711.6267052	1129.039962	278.1070053	321.5597602	279.2559088
TRAPPC9	538.0909118	476.3813131	515.1683175	62.18871303	87.19383727	60.8050921	182.9530992	215.4880503	158.2766302	447.1720553	339.7209427	391.1463234
TREML3P	90.31561241	73.53012058	72.98217831	27.98492086	18.7802111	22.94531778	34.34071117	27.09729974	39.04156879	19.00731331	25.63931643	17.86485612
TRIM22	19.9645038	12.5157652	25.75841588	108.8302478	87.19383727	102.1066641	44.99817326	44.51699243	47.48298907	8.003079289	20.29779218	6.581789096
TRPC1	16.16174117	31.28941301	30.05148519	135.2604508	108.6569357	81.4558781	73.41807216	60.00116372	87.57973539	12.00461893	19.22948732	22.56613404
TSPAN11	0	0.782235325	2.146534656	10.88302478	20.12165475	10.325393	10.65746209	15.48417128	14.77248549	3.001154733	9.614743662	1.88051117
TTLL11	38.97831693	69.61894395	49.37029709	225.4340847	218.655315	230.6004436	162.8223375	134.1961511	137.1730795	72.0277136	67.30320563	57.3555907
TTYH2	76.05525255	72.74788525	69.76237633	236.3171095	283.0446102	343.0325007	361.7616298	347.74868	218.4217497	55.02117011	74.78133959	45.13226809
TUBB2A	638.8641214	703.2295574	614.982179	2077.103015	2002.77537	2379.429453	1372.444284	1370.994332	1728.380802	711.2736718	818.3215161	703.3111777
TUBB3	803.3336051	718.0920286	779.1920802	1741.283965	1621.805373	1697.953515	1518.096266	1498.093572	2109.299892	772.2971514	803.3652482	740.9214011
TUFT1	927.8740811	864.3700344	868.2732685	2411.367348	2409.232796	2624.944353	2024.325716	1787.131435	2191.60374	1242.47806	1267.009554	1152.753347
TXNDC5	197.7436566	322.280954	264.0237627	87.06419824	119.3884849	63.09962388	92.95675266	103.8729823	175.1594708	148.0569668	159.1774228	269.8533529
