""	"TR_AG_1"	"TR_AG_3"	"TR_SH_1"	"TR_SH_3"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Asap2"	1597.04717266798	1588.47342422498	608.791541317257	583.435856591564	1094.43699870045	-1.41799683038849	0.110182793031414	-12.86949433188	6.68382901021405e-38	1.24203778043213e-05
"Atf5"	4220.47689133723	3920.90362802544	1948.13293221522	2100.77076073933	3047.57105307931	-1.00744995762854	0.0867253929396689	-11.6165510870545	3.39569381112074e-31	0.000135520138309498
"Atg16l2"	60.0164224123637	84.7309974234897	351.746223872193	368.538656401212	216.258075027315	2.31059267721058	0.237087276545001	9.74574726607911	1.92358366637217e-22	0.00273664090690688
"Atoh8"	206.497182198472	218.810817522199	1063.56402602776	889.714576489029	594.646650559364	2.1984256027648	0.153902433564419	14.2845408733878	2.73204082621673e-46	6.46667028983906e-07
"B230206H07Rik"	39.6718724420709	64.2465804639647	316.363467624694	310.295489994481	182.644352631303	2.58548433608894	0.266459216841838	9.70311467072876	2.92432469085999e-22	0.00287746815281767
"B3gnt3"	200.393817207384	174.117544155962	790.908669061736	832.475602606552	499.473908257908	2.11768403390181	0.157535816286105	13.442556009332	3.40469894036232e-41	3.89461391619693e-06
"Bace1"	1143.36370833045	1284.0004994175	576.53079297395	569.377161252008	893.318040493477	-1.08338272376967	0.121902832027436	-8.88726460043064	6.26317308221156e-19	0.00849079715669562
"Bai2"	302.116567058848	292.368496604129	41.6267720558808	41.1718934944133	169.320932303318	-2.84389550256677	0.269416479598604	-10.5557592720527	4.77761181828591e-26	0.000799526898686903
"Bcam"	228.876187165794	192.739741391894	720.143156566739	728.039580084137	467.449666302141	1.78207934832857	0.160047792983498	11.1346699327014	8.50595229518253e-29	0.000308309851527762
"Bgn"	42476.3686554758	43453.0350303233	11011.3218780819	10721.7635814598	26915.6222863352	-1.98328379122475	0.0635481864465548	-31.2091328191203	8.01005842614448e-214	1.03494274082638e-13
"Bhlhb9"	999.934631039889	1050.29192410655	282.021380678593	296.236794654925	657.12118261999	-1.82597339410471	0.136751152354048	-13.3525265613651	1.14498515591185e-40	4.62579194122225e-06
"Bhlhe41"	974.503943577024	952.525388617911	306.997443912121	347.450613391878	645.369347374733	-1.55745062263926	0.138053050151957	-11.2815372128682	1.61892028034465e-29	0.000241393090398239
"Bmp4"	697.818063981042	609.876959476766	3805.72763520891	3858.1076781838	2242.88258421263	2.55228823315923	0.0974619628463479	26.1875316135691	3.68553381775712e-151	1.03494274082638e-13
"Bnip3"	990.779583553258	991.632002813368	384.006972215501	451.886635914292	704.576298624105	-1.24532913107481	0.134880981064878	-9.23280006745953	2.63647892251683e-20	0.00539426417773497
"Bves"	89.5160198692882	87.5243270088794	329.892168542856	352.471576013148	214.851022858543	1.94687658586633	0.222335022484201	8.75649982676334	2.01407042018493e-18	0.0098992261597165
"C3"	6438.03283809915	6431.17581542905	1094.78410506967	953.982898041284	3729.49391415979	-2.65151589705627	0.0884823670212326	-29.9666022318322	2.67420809779923e-197	1.03494274082638e-13
"Camk2n1"	423.16663938209	401.30835043433	105.107599441099	117.490525337716	261.768278648809	-1.8882341979654	0.204351385327647	-9.24013407072284	2.46188566750578e-20	0.00534247824546468
"Capg"	4128.92641647092	4202.09880628801	1877.36741972023	2156.0013495733	3091.09849801311	-1.04632006381532	0.0900537834966416	-11.6188351359423	3.30613202536213e-31	0.000135520138309498
"Car13"	466.907421818219	530.732621224056	1066.68603393195	1092.56146638833	789.221885840639	1.11301161519924	0.126885451779514	8.77178273466132	1.7585948306759e-18	0.009704263459613
"Car8"	249.220737136086	250.468552823283	13.5287009181613	10.0419252425398	130.814979030018	-4.40888481080707	0.389362051543153	-11.3233551994433	1.0054847478516e-29	0.000226294930699907
