""	"TR_AG_1"	"TR_AG_2"	"TR_AG_3"	"TR_SH_1"	"TR_SH_2"	"TR_SH_3"
"Lama3"	5.43233937025949	14.8837691423552	9.92128390695025	21.0304841318007	12.7051195544434	18.1590698317832
"Lama4"	157.537841737525	912.610055307568	159.732670901899	288.892439915788	480.839909291242	239.272449548202
"Lama5"	3200.73435695689	3310.46359976805	2978.36942886646	5948.30640654194	12186.1642864888	5330.22108591753
"Lamb1"	6112.46825941597	5441.97601220745	5981.5420675003	3450.1062652012	5925.47229681463	3340.20066846976
"Lamb2"	2170.76281235569	3635.55645208792	2228.32036550103	3236.48082112554	4708.71277025448	2985.56471646082
"Lamb3"	36.9399077177645	31.3342508260109	37.7008788464109	80.80133376955	206.213863537504	64.0908347004112
"Lamc1"	7417.3161761523	10502.4575206082	7640.38073674239	9592.11449927289	10810.1021070537	8481.35379202108
"Lamc2"	815.937373412975	931.410605803175	835.372104965211	919.806963869809	635.255977722169	901.544408119117
"Lamc3"	5.43233937025949	43.084594885765	16.8661826418154	64.1983199812863	47.8885275513635	66.2271958570916
"Lamp1"	50009.0297747348	50506.1121939057	49881.2390989738	45972.6383121163	54283.1119548037	47028.7863225834
"Lamp2"	9683.68816142456	14470.9403877225	10232.8122216285	7525.592716427	11179.5278910214	7321.30968394364
"Lamp3"	4.34587149620759	3.13342508260109	8.92915551625522	2.21373517176849	0	4.27272231336075
"Lamtor1"	3990.59650139262	2983.80403490689	3678.81207269715	2937.62657293679	3535.93250369047	3405.35968374851
"Lamtor2"	928.930032314372	987.812257289994	993.12051908572	872.211657676787	1140.52880923349	1168.58955270416
"Lamtor3"	2531.47014654092	1621.54748024607	2524.96675431884	1562.89703126856	1551.9792194197	1881.06599845707
"Lamtor4"	1211.41167956787	815.473877746934	1195.5147107875	939.730580415726	1096.54954923734	1114.11234320881
"Lamtor5"	1580.81075674551	1039.51377115291	1573.51562764231	993.967092124054	817.03691903959	1124.79414899222
"Lancl1"	654.053660179242	670.552967676634	644.883453951766	588.85355569042	707.577427493616	666.544680884276
"Lancl2"	1069.08438806707	730.088044246055	1081.41994585758	922.020699041578	851.243010147706	903.680769275798
"Lancl3"	91.2633014203594	198.189136474519	80.362399646297	79.6944661836658	81.1173017706769	82.2499045321944
"Lap3"	3213.77197144551	3031.58876741656	3162.90530953574	3228.73274802435	3282.80742949041	3317.76887632462
"Laptm4a"	9525.06385181298	10045.7608148191	9653.40924146259	5932.81026033956	11581.2051323195	6983.76462118814
"Laptm4b"	3982.99122627426	3442.0674532373	4094.51386839837	3028.3897149793	4826.96811379968	3231.24624947906
"Large"	1756.81855234192	3246.22838557473	1753.09086635811	2066.52178284589	3351.21961170664	1983.61133397773
"Larp1"	7921.43726971238	6038.89349044296	8012.42888325302	6995.40314278844	5042.95514622522	6316.15175972552
"Larp1b"	262.925225520559	265.557775750443	281.764462957387	437.212696424278	366.493833301251	358.908674322303
