""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PHB"	10626.6629921263	1.35042016305769	0.0765505000969716	17.6409058248741	1.19529446051462e-69	5.07587490035144e-05
"PHF2"	283.907274096996	-2.60916944870413	0.188859124274521	-13.8154270212092	2.05730634296931e-43	0.00240908245291046
"PHKB"	1138.98623341996	-1.59158663302686	0.117106734284648	-13.5909061314804	4.53431710985737e-42	0.00293854579603111
"PHLDA2"	292.903095100909	3.42601829562822	0.199837338949116	17.1440348117354	6.9645697903129e-66	8.86546010331317e-05
"PHRF1"	445.389507152422	-2.10072161731112	0.167706598047102	-12.5261715506334	5.36926036841471e-36	0.00737675571154738
"PHYH"	1317.44590713415	1.68517382823191	0.0998691134017773	16.8738238563548	7.01074142145253e-64	0.000118662044315257
"PIGO"	582.864873655538	-1.95107146139559	0.127889802741874	-15.2558798243949	1.50453289469772e-52	0.000651888849533273
"PIK3CA"	1197.55477536152	-1.22964184289749	0.0953791732028683	-12.8921419803261	4.98400170380652e-38	0.00539671788271524
"PIK3R2"	1047.37535784907	-2.19144809711858	0.143759833243594	-15.2438135720794	1.80990716501406e-52	0.000659380482288686
"PIMREG"	3485.46593358216	1.53779118095688	0.0893184243449434	17.2169537498558	1.98146491874747e-66	8.23380602264575e-05
"PJA2"	1147.22638917075	-1.52271119263691	0.0982924389797308	-15.4916411520821	3.95075221192812e-54	0.000517616526422651
"PKD1"	280.756529321317	-2.64490478548779	0.198870524094439	-13.2996319969056	2.32610360421817e-40	0.00379993564613519
"PKMYT1"	1163.5809455082	-1.52917513390076	0.11564212402769	-13.2233400826727	6.43420326813728e-40	0.00401758346473956
"PKP4"	410.708997019718	-2.16003282169535	0.165274962757212	-13.0693287456275	4.92986172281149e-39	0.00460452968574537
"PLA2G3"	143.037624802069	-3.18438807333374	0.254140559590889	-12.530026999468	5.11452625973788e-36	0.00736450990798136
"PLAC8"	1865.30272075908	1.36620998396966	0.100172566456489	13.6385642526498	2.36164425699764e-42	0.00283008230352476
"PLCB3"	709.40391843367	-2.14194319970505	0.161034548337292	-13.3011407913455	2.27963388583583e-40	0.00379648722472789
"PLEK2"	853.625848039476	1.88701489560505	0.11096831014216	17.0049890206277	7.54193171945784e-65	0.000102940129480323
"PLEKHB2"	9541.94387975015	1.10413026427629	0.066754415027973	16.5401833543686	1.8844790056452e-61	0.000171171458957901
"PLLP"	631.826689948469	1.97459596785074	0.115202083879827	17.1402799441591	7.42921310778343e-66	8.89497904041743e-05
"PLOD1"	1456.16376781494	-1.40528638118761	0.0963642866761534	-14.5830621453182	3.59999852665743e-48	0.00123555661413927
"PLPPR3"	1898.94236905201	-1.45067622730827	0.107986303938202	-13.4338909139668	3.82759957898763e-41	0.00338579621487213
"PLXNA1"	2176.8317017625	-2.24482557855735	0.145261391951779	-15.4536972859418	7.12372760728642e-54	0.000537786782222309
